"anxiety","fatigue","vaginal_dryness","sex_drive","night_sweats","mood_swings","hot_flashes","headaches","painful_intercourse","bloating","uti","constipation","insomnia","itchy_skin","joint_pain","brain_fog","hair_loss","brittle_nails","dry_skin","allergies","dry_eyes","chills","muscle_tension","dizzy","memory_lapse","irregular_beat","nausea","breast_pain","heartburn","ringing_ears","facial_hair","tingling_extremeties","yeast_infection","cramps","depression","breast_swelling","vertigo","odor","incontinence","diarrhea","vomiting"
0,0.313738063354776,0,0,0,0.3620229111611,0,0,0,0,0,0,0,0,0,0.0726669522767988,0,0,0,0,0,0,0,0,0.0800110479805877,0,0,0,0,0,0,0,0,0,1.29644643420646,0,0,0,0,0,0
0.313738063354776,0,0,0.0433599717709374,0,0.120089178455468,0,0.302533651555838,0,0.214830625430769,0,0,0.197409013185222,0.0661807365853387,0.0788451510310725,0.444257009605924,0,0.213352646568726,0.142246470220926,0,0.0888667063880339,0,0.250070547825059,0,0.285974037465018,0,0,0,0,0,0.164079563024502,0.0852851960524833,0,0,0.239972058318815,0,0,0,0,0,0
0,0,0,0.810189451767007,0,0,0,0,1.614730119845,0,0.216602185929728,0.109253380273895,0,0.0881273523973367,0,0,0.170593220670024,0.0966164880991101,0.0603708926335326,0,0.20897942518771,0,0.049723249407272,0,0.299461210058575,0,0,0,0,0,0.0756232432766627,0,0,0,0,0,0,0,0,0,0
0,0.0433599717709374,0.810189451767007,0,0.112783684725357,0.314020500383124,0,0,0.847468460985008,0,0,0.09369915237117,0.162130268739472,0.0910657292890181,0,0.07660079769423,0,0,0.0972049144836601,0,0,0,0,0,0.109439532591439,0,0,0,0,0,0.0595971971586411,0,0,0,0,0,0,0,0,0,0
0,0,0,0.112783684725357,0,0.209402551461612,1.50525761067234,0,0,0,0,0,0.389732939308592,0,0.0445047287600666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3620229111611,0.120089178455468,0,0.314020500383124,0.209402551461612,0,0,0.25894975710944,0,0,0,0,0,0.0798697373738648,0.0327865529316713,0.0826305059115099,0,0,0,0,0,0,0.224047544296785,0,0.422565205593173,0,0,0,0,0,0,0.137124294791699,0,0,0.778843690499378,0,0,0,0,0,0
0,0,0,0,1.50525761067234,0,0,0,0,0,0,0,0,-0.0919222681379205,0,0,0,0,0,0,0,0.284894738710418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.302533651555838,0,0,0,0.25894975710944,0,0,0,0,0,0,0.145061981070332,0.0563206469019368,0.104443832322461,0,0,0,0,0.101891008596596,0.0526346998415876,0.0386038988211664,0.0428544599615619,0.360929502585316,0,0,0.170904603964808,0,0.190045888702009,0,0,0,0,0.157706768515126,0,0,0,0,0,0,0
0,0,1.614730119845,0.847468460985008,0,0,0,0,0,0,0.477633280969631,0,0,0,0.32050810535437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.214830625430769,0,0,0,0,0,0,0,0,0,0.431444616172738,0,0,0.200461355799211,0.0831075735573283,0,0.153304265623354,0,0.222502280334201,0,0,0,0,0,0,0,0,0.169049340672854,0,0,0,0,0,0,0.461415213840568,0,0,0,0,0
0,0,0.216602185929728,0,0,0,0,0,0.477633280969631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191380521895882,0,0,0.129743504713689,1.54449202536506,0,0,0,0,0,0,0,0
0,0,0.109253380273895,0.09369915237117,0,0,0,0,0,0.431444616172738,0,0,0.105356520911236,0,0,0,0.149307039218917,0,0.0328455486837874,0,0,0,0.229868317821241,0,0.213651830418464,0,0,0,0.410949682089573,0,0,0,0,0,0,0,0,0,0,0,0
0,0.197409013185222,0,0.162130268739472,0.389732939308592,0,0,0.145061981070332,0,0,0,0.105356520911236,0,0.216409413409697,0,0.142921904240046,0.259158470547215,0,0.0796328079958521,0,0,0,0,0,0.0808847330775435,0.166210012564722,0,0,0,0,0.0594723177026304,0,0,0,0,0,0,0,0,0,0
