"anxiety","fatigue","vaginal_dryness","sex_drive","night_sweats","mood_swings","hot_flashes","headaches","painful_intercourse","bloating","uti","constipation","insomnia","itchy_skin","joint_pain","brain_fog","hair_loss","brittle_nails","dry_skin","allergies","dry_eyes","chills","muscle_tension","dizzy","memory_lapse","irregular_beat","nausea","breast_pain","heartburn","ringing_ears","facial_hair","tingling_extremeties","yeast_infection","cramps","depression","breast_swelling","vertigo","odor","incontinence","diarrhea","vomiting"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271465149114766,0,0,0,0,0,0,0,0,0.333461474484245,0,0,0,0,0,0,0,0,0
0,0.164079563024502,0.0756232432766627,0.0595971971586411,0,0,0,0,0,0,0,0,0.0594723177026304,0.114494039281482,0.278007660898788,0,0.416881082340534,0.196371704812762,0.320998472175256,0,0,0,0,0,0.034859762167779,0,0,0,0,0,0,0,0,0,0,0,0,0.136221232416223,0,0,0
0,0.0852851960524833,0,0,0,0.137124294791699,0,0,0,0,0.129743504713689,0,0,0.144047154481455,0.407548574386372,0.151331910009277,0,0,0,0,0,0,0.434388926363045,0.130168393498205,0,0.334976634623598,0,0,0.0885760059972716,0.333461474484245,0,0,0,0,0,0,0.233514171995156,0,0.26105395526147,0,0
0,0,0,0,0,0,0,0,0,0,1.54449202536506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.157706768515126,0,0,0,0,0,0,0,0,0,0,0,0.0602691784787863,0,0,0,0,0,0,0.230232726822382,0.919552530638196,0,0,0,0,0,0,0,0,0,0,0,0.210871708972134,0
1.29644643420646,0.239972058318815,0,0,0,0.778843690499378,0,0,0,0,0,0,0,0.131958559186081,0,0.342365584533373,0,0,0,0,0,0,0,0.169425683296795,0.129497194796475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143802022453699,0,0
0,0,0,0,0,0,0,0,0,0.461415213840568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89681822371012,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22466654458317,0.104090274910705,0.393450667279168,0.0891341362758153,0,0,0,0,0.233514171995156,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106980166798972,0,0,0,0,0,0,0.198674948640685,0,0,0,0,0,0.136221232416223,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223360067936765,0,0.0960386201939299,0,0.171666281006277,0,0,0,0,0,0.078312016718779,0,0,0,0,0,0,0.26105395526147,0,0,0.143802022453699,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.149276965707896,0,0,0,0,0,0,0,0,0.107990832376773,0,0,0,0.490084915884673,0,0,0,0,0,0,0.210871708972134,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67703694819198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
