"mood_swings","spotting","constipation","uti","joint_pain","painful_intercourse","headaches","anxiety","fatigue","hot_flashes","night_sweats","sex_drive","bloating","insomnia","itchy_skin","vaginal_dryness","allergies","dry_skin","brain_fog","hair_loss","dry_eyes","brittle_nails","muscle_tension","incontinence","diarrhea","memory_lapse","facial_hair","dizzy","ringing_ears","tingling_extremeties","nausea","heartburn","irregular_beat","cramps","odor","depression","chills","vomiting","vertigo","yeast_infection","breast_swelling","breast_pain"
0.0994890613362012,0,0.0458292037063804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391273031159905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249729163068163,0,0,0.561887110181909,0,0,0,0,0,0.395544530203028,0,0,0,1.10039276519387,0,0,0,0
0,0,0.294534707960217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226284503929882,0,0,0
0,1.25371264944613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395544530203028,0,0,0,0,0,0,0.617058155045084,0,0,0,0.488134892950783
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.533169680684838,0,0,0,0,0,0,1.14158285407634,0.218040978524032,0,0,0,0,0,0.154665854453987,0,0,0,0.514136268657181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580528260676919,0,0,0,0,0,1.10039276519387,0,0,0.617058155045084,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01842060595815,0,0,0,0,0.226284503929882,0,0,0,0,0,0,0,0,0
0,0,0,1.3614362482268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.463729247940136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05847226133816
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11115231045894,0,0,0,0,0,0.488134892950783,0,0,0,0,0,0,2.05847226133816,0
